 OP_CODE FUNCION  B_ONZC     CLR      LF              MICROIN   NIVEL
   00000    0000    0000       1       0 00000100010000110011       0
   00000    0000    0000       1       0 00000100010000110011       0
   00000    0000    0001       0       1 00000100010000110011       0
   00000    0000    0010       0       1 00000100010000110011       0
   00000    0001    0001       0       1 00000100010001110011       0
   00000    0010    0100       0       1 00000100010000000011       0
   00000    0011    1100       0       1 00000100010000010011       0
   00000    0100    0011       0       1 00000100010000100011       0
   00000    0101    1000       0       1 00000100010011010011       0
   00000    0110    0001       0       1 00000100010011000011       0
   00000    0111    0100       0       1 00000100010010100011       0
   00000    1000    0010       0       1 00000100010011010011       0
   00000    1001    0000       0       0 00000001010000000000       0
   00000    1010    0000       0       0 00000001110000000000       0
   00000    1011    0000       0       0 00000000000000000000       0
   00000    1100    0000       0       0 00000000000000000000       0
   UUUUU    UUUU    UUUU       U       U 00000100010000110011       0
   00001    0111    0000       0       0 00000100010010100011       0
   00010    0100    0000       0       0 00000100010000100011       0
   00011    1000    0000       0       0 00000100010011010011       0
   00100    0110    0000       0       0 00000100010011000011       0
   00101    0000    0010       0       1 00000100010000110011       0
   00110    0110    0001       0       1 00000100010011000011       0
   00111    0100    0011       0       1 00000100010000100011       0
   01000    1010    0100       0       1 00000001110000000000       0
   01001    0100    1000       0       1 00000100010000100011       0
   01010    0001    1100       0       1 00000100010001110011       0
   01011    0011    0101       0       1 00000100010000010011       0
   01100    1111    1010       0       1 00000000000000000000       0
   10111    0000    0000       0       1 00000100010000110011       0
   UUUUU    UUUU    UUUU       U       U 00000100010000110011       0
   01101    1111    0000       0       1 00000000000000000000       0
   01101    1011    0010       0       1 10011000001100110011       0
   01101    1101    0010       0       1 00001000000001110001       0
   01110    1110    0010       0       1 00001000000001110001       0
   01110    1100    0000       0       1 10011000001100110011       0
   01110    0011    0000       0       1 00001000000001110001       0
   UUUUU    UUUU    UUUU       U       U 10011000001100110011       0
   01111    0001    1100       0       1 00001000000001110001       0
   01111    0000    1000       0       1 00001000000001110001       0
   01111    0010    0100       0       1 10011000001100110011       0
   10000    0100    0000       0       1 00001000000001110001       0
   10000    0110    1110       0       1 10011000001100110011       0
   10000    0101    1000       0       1 00001000000001110001       0
   10001    0111    1010       0       1 10011000001100110011       0
   10001    1010    1100       0       1 00001000000001110001       0
   10001    1000    0000       0       1 10011000001100110011       0
   10010    1111    1000       0       1 00001000000001110001       0
   10010    1001    1010       0       1 00001000000001110001       0
   10010    1101    1100       0       1 00001000000001110001       0
   UUUUU    UUUU    UUUU       U       U 10011000001100110011       0
