 POUT  24.. 19.. 15.. 11.. 7... 3...
 0000 00000 0000 0000 0000 0000 0000
 0000 00000 0000 0000 0000 0000 0000
 0001 00001 0000 0000 0000 0000 0001
 0002 00001 0001 0000 0000 0000 0111
 0003 10100 0000 0000 0000 0000 0110
 0006 00000 0001 0001 0000 0000 0000
 0007 10101 0000 0000 0000 0000 0000
 0004 00011 0001 0000 0000 0000 0101
 0005 10011 0000 0000 0000 0000 0011
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
 0003 10100 0000 0000 0000 0000 0110
